App Name,APK,Accelerometer Usage (Y/N),Gyroscope Usage (Y/N),Magnetometer Usage (Y/N),Light Sensor Usage (Y/N),Proximity Sensor Usage (Y/N)
BET+,com.viacom.betplus.apk,N,N,N,N,N

MIR M,com.wemade.mirmglobal.apk,N,N,N,N,N

The Grand Mafia,com.yottagames.gameofmafia.apk,Y,Y,Y,N,N

Mafia City,com.yottagames.mafiawar.apk,Y,Y,Y,N,N

Game of Thrones Slots Casino,com.zynga.gotslots.apk,Y,N,N,N,N

Lily’s Garden - Design & Match,dk.tactile.lilysgarden.apk,Y,N,N,N,N

Redecor - Home Design Game,fi.reworks.redecor.apk,Y,Y,Y,N,N

onX Hunt: GPS Hunting Maps,onxmaps.hunt.apk,N,N,N,N,N

Twitch: Live Game Streaming,tv.twitch.android.app.apk,N,N,N,N,N

Tux Math,org.afrikalan.tuxmath,N,N,N,N,N

BRouter,btools.routingapp,N,N,N,N,N

Scoreboard,com.github.vatbub.scoreboard,N,N,N,N,N

PySolFC,org.lufebe16.pysolfc,Y,N,N,N,N

Chip Defense,de.chadenas.cpudefense,N,N,N,Y,N

Phase10Counter,com.tjEnterprises.phase10Counter,N,N,N,Y,N

GCompris,net.gcompris.full,N,N,N,N,N

NextCompanion,com.example.hochi.nextcompanion,N,N,N,Y,N

Cards With Cats,com.dozingcatsoftware.cardswithcats,N,N,N,Y,N

Gridle,org.billthefarmer.gridle,N,N,N,Y,N

SaveToâ¦,xyz.myachin.saveto,N,N,N,N,N

NZ Tides,com.palliser.nztides,N,N,N,N,N

Blue Square Speedometer,net.nhiroki.bluesquarespeedometer,N,N,N,N,N

Parlera â word guessing game,com.enjoyingfoss.parlera,N,N,N,N,N

Captive Portal Controller,io.github.muntashirakon.captiveportalcontroller,N,N,N,N,N

MozillaNlpBackend,org.microg.nlp.backend.ichnaea,N,N,N,Y,N

lichess,org.lichess.mobileapp.free,N,N,N,N,N

DÃ©kaDico,com.example.spokennumbers,N,N,N,N,N

PasseGares,fr.nocle.passegares,N,N,N,N,N

Non Stop Balloons Shooter,com.stoptheballs,N,N,N,N,N

Compass,com.bobek.compass,N,N,N,N,N

Xeonjia: Ice Adventures,xyz.deepdaikon.xeonjia,N,N,N,N,N

My Position,net.mypapit.mobile.myposition,N,N,N,N,N

MOROway App,de.moroway.oc,N,N,N,N,N

GuessThatPokemon,com.nima.guessthatpokemon,N,N,N,N,N

OsmAnd~,net.osmand.plus,N,N,N,N,N

LocalGsmNlpBackend,org.fitchfamily.android.gsmlocation,N,N,N,N,N

Trackbook - Movement Recorder,org.y20k.trackbook,N,N,N,N,N

Tehro: Tehran Metro,dev.yasan.metro.fdroid,N,N,N,N,N

Memory,com.sanskritbasics.memory,N,N,N,N,N

Minesweeper (Privacy Friendly),org.secuso.privacyfriendlyminesweeper,N,N,N,N,N

OSMfocus Reborn,net.pfiers.osmfocus,N,N,N,N,N

Mitch,ua.gardenapple.itchupdater,N,N,N,N,N

ArkTap,com.icebem.akt,N,N,N,N,N

GeoNotes,de.hauke_stieler.geonotes,N,N,N,N,N

Deep Rock Galactic Assistant,com.vladrip.drgassistant,N,N,N,N,N

Nextcloud Maps Geobookmarks,it.danieleverducci.nextcloudmaps,N,N,N,N,N

Seguime,pc.javier.seguime,N,N,N,N,N

Zoysii - Logic game,xyz.deepdaikon.zoysii,N,N,N,N,N

RoadEagle,org.traffxml.roadeagle,N,N,N,N,N

Falling Blocks,org.sajeg.fallingblocks,Y,N,Y,N,N

Randomix - Decision Maker,com.minar.randomix,N,N,N,N,N

GraphHopper Maps,com.graphhopper.maps,N,N,N,N,N

Paris Transport Traffic,fr.corenting.traficparis,N,N,N,N,N

GMaps WV,us.spotco.maps,N,N,N,N,N

EBT New Note,com.marv42.ebt.newnote,N,N,N,N,N

Bangle.js Gadgetbridge,com.espruino.gadgetbridge.banglejs,N,N,N,N,N

Andor's Trail,com.gpl.rpg.AndorsTrail,N,N,N,N,N

TICE â Secure GPS Location Sharing with Friends,app.tice.TICE.production,N,N,N,N,N

Gravity Force,com.gravityplay,N,N,N,N,N

Who Here,io.hoppe.whohere,N,N,N,N,N

Insigno,org.mindshub.insigno,N,N,N,N,N

RegisCat,com.example.regis_cat,N,N,N,N,N

WhereYouGo,menion.android.whereyougo,N,N,N,N,N

Avare FOSS,com.ds.avare,N,N,N,N,N

StoryGame,eu.webdragon.storygame,N,N,N,N,N

Beat Feet,com.serwylo.beatgame,Y,N,Y,N,N

Pareu de Parar-me,org.pareudepararme.pareu_de_pararme_map,N,N,N,N,N

Trekarta,mobi.maptrek,N,N,N,N,N

DroidFish,org.petero.droidfish,N,N,N,N,N

Status Bar Speedometer,ch.rmy.android.statusbar_tacho,N,N,N,N,N

Memetro,com.memetro.android,N,N,N,N,N

